title,description,genre
Interstellar (2014),"A team of explorers embark on an extraordinary space adventure through a newly discovered wormhole, seeking a new habitable planet for humanity's survival.",Adventure
Frozen (2013),"In this vibrant animation, newly crowned Queen Elsa accidentally uses her power to turn things into ice, cursing her home in infinite winter. Her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.","Animation, Adventure"
A Quiet Place (2018),"A family must live in silence to avoid mysterious creatures that hunt by sound, facing constant horror. They communicate using sign language and must navigate a world where the slightest noise could mean their demise.","Horror, Thriller"
Toy Story 3 (2010),"In this heartwarming animation, the toys are accidentally delivered to a daycare center instead of the attic before Andy leaves for college. It's up to Woody to convince the other toys that they weren't abandoned.","Animation, Comedy"
John Wick (2014),"An ex-hitman comes out of retirement to track down the gangsters who took everything from him, unleashing a relentless barrage of action.",Action
The Avengers (2012),Earth's mightiest heroes assemble for a global action sequence to stop Loki and his alien army from conquering Earth.,"Action, Comedy"
Prisoners (2013),"When his daughter and her friend go missing, a desperate father takes matters into his own hands, leading to an intense psychological thriller as the police investigation falters",Thriller
The Conjuring (2013),"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Based on a true story, this film launched a popular horror cinematic universe.",Horror
Dune (2021),"A brilliant and gifted young man, Paul Atreides, must embark on a dangerous adventure to the most perilous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence, only those who can conquer their fear will survive.",Adventure
Paddington (2014),"A young Peruvian bear embarks on an adventure to London in search of a home. Finding himself lost and alone at Paddington Station, he begins to realize that city life is not what he had imagined, until he meets the kind Brown family.","Adventure, Comedy"
Parasite (2019),Greed and class discrimination create a tense thriller that threatens the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim family.,Thriller
The Secret Life of Pets (2016),"In this charming animation, the quiet life of a terrier named Max is upended when his owner takes in a stray dog named Duke. They soon find themselves lost in the city and must put their differences aside to make it home before their owner returns.","Animation, Adventure"
Get Out (2017),"A young African-American man visits his white girlfriend's parents for the first time, only to discover their unsettling secret, which quickly descends into horror.",Horror
The Impossible (2012),"Based on a true story, a family on vacation in Thailand is caught in the devastating 2004 tsunami and must fight for survival and find each other amidst the chaos, creating a harrowing thriller.",Thriller
Jumanji: Welcome to the Jungle (2017),"Four teenagers are sucked into a magical video game and literally become the adult avatars they chose. They must work together on a perilous adventure to beat the game and return to the real world, facing challenges along the way.","Adventure, Comedy"
Edge of Tomorrow (2014),"A soldier fighting aliens finds himself caught in a time loop, repeating the same day over and over again, allowing him to hone his combat skills and become humanity's best hope in this thrilling action film.",Action
Coco (2017),"Young Miguel, defying his family's music ban, dreams of being a musician. He accidentally enters the vibrant Land of the Dead, embarking on an enchanting adventure to uncover his family's musical history.","Animation, Adventure"
It (2017),"In 1989, a group of outcast children in Derry, Maine, are terrorized by a shape-shifting evil clown named Pennywise. They must confront their deepest fears to stop this ancient horror that preys on kids.",Horror
Train to Busan (2016),"A workaholic father and his estranged daughter board a high-speed train to Busan, only to find themselves trapped as a sudden zombie apocalypse breaks out across South Korea. They, along with other desperate passengers, must fight for survival against hordes of rapidly infecting undead while navigating the confined spaces of the train and facing difficult moral choices in this harrowing horror thriller.","Horror, Thriller"
Sicario (2015),"An idealistic FBI agent is enlisted by a government task force to take down a Mexican drug cartel, leading her down a morally ambiguous path in this intense crime thriller.","Action, Thriller"
Drive (2011),"A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver but finds himself in trouble when he helps out his neighbor, resulting in a stylish and violent crime thriller.",Thriller
Guardians of the Galaxy (2014),"A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe, offering a fun and action-packed superhero adventure.","Action, Comedy"
The Wild Robot (2024),"An animated adventure about a robot who washes ashore on an uninhabited island and must learn to adapt to its new environment, forming relationships with the wildlife, based on the popular novel.","Animation, Adventure"
Barbie (2023),"Barbie and Ken embark on a journey of self-discovery after leaving the colorful and seemingly perfect world of Barbie Land for the real world, a vibrant and thought-provoking comedy fantasy.","Adventure, Comedy"
Shutter Island (2010),"U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane on a remote island, but soon begins to question his sanity and the reality around him in this chilling psychological thriller.",Thriller
Godzilla Minus One (2023),"In a devastated post-war Japan, a former kamikaze pilot struggles to survive and deal with his past as a new threat emerges in the form of a monstrous Godzilla, delivering intense creature action and drama.",Action
Logan (2017),"In a future where mutants are nearly extinct, an aging Wolverine and Professor X must protect a young female clone of Wolverine from a ruthless organization, facing a gritty and emotional superhero action film.",Action
Inside Out (2015),"After young Riley is uprooted from her Midwest life and moves to San Francisco, her emotions—Joy, Fear, Anger, Disgust, and Sadness—conflict on how to navigate a new city, house, and school, in this imaginative and heartwarming animation.","Animation, Adventure"
Us (2019),"A family's peaceful vacation turns into a terrifying nightmare when they are confronted by their doppelgängers, leading to a suspenseful and thought-provoking horror film.","Horror, Thriller"
Inception (2010),"A skilled thief who steals information by entering people's dreams is given the inverse task of planting an idea in a C.E.O.'s subconscious, leading to mind-bending sci-fi action and a thrilling ride.","Action, Thriller"
